Loading inputs..
UserId:ItemId,Prediction
38723:2413496,6
38723:2395427,6
38723:1951265,6.98519
38723:1854564,6.15436
38723:1790864,7.23627
38723:1392190,6
38723:424774,7.5
38701:3469910,5.8
38701:2582802,8.9181
38701:1714915,7.51613
38689:2084970,10
38689:1951265,10
38689:816692,10
38687:3316960,9.28964
38687:3042408,10
38687:2937898,9.18135
38687:2802144,8.23164
38687:2582802,9.34357
38687:2562232,9.59029
38687:2293640,8.6
38687:2245084,9.1875
38687:2170593,8.96325
38687:1655441,8.6
38687:1255953,8.8809
38687:1242422,8.2359
38687:1100089,9.45236
38687:1014763,8.6
38687:816692,9.27871
38687:200027,10
38687:98635,9.28174
38678:2820852,7.88506
38678:2084970,9
38678:1951265,8.39483
38678:1823672,7.88506
38678:455944,8.81031
38665:2446042,8.39335
38665:2180411,8.30227
38665:1661199,7.81633
38660:2582802,8.9181
38660:2381249,6
38660:1065073,8.41639
38660:816692,8.68058
38660:209144,8.60656
38644:2713180,8.92006
38644:2593392,9
38644:2015381,7.92576
38644:1675192,7.73917
38644:1631867,8.71955
38644:1564585,7.83893
38644:831387,7.96077
38644:468569,9.39097
38644:343818,9.32504
38644:316396,10
38644:219699,9.55321
38644:145531,9.7913
38644:121766,9.74461
38644:121765,7.89387
38644:110912,9.63249
38644:105323,9.62953
38644:86250,10
38644:75005,8.23544
38632:2991224,8
38632:2980516,7.9072
38632:2718492,8
38632:2395427,7.5
38632:2322441,7.5
38632:2321549,8
38632:2305051,7.91618
38632:2279373,7.5
38632:2224026,7.5
38632:2084970,7.85651
38632:1922777,7.03989
38632:119396,8
38603:3622592,6.91892
38603:2446042,7.40965
38603:2179136,7.42269
38603:1809398,7.78533
38592:3316960,8.65038
38592:2911666,8.50364
38592:2910814,7.95631
38592:2908446,8.62927
38592:2717822,8.65885
38592:2713180,8.57407
38592:2652092,8.78893
38592:2493486,8.62927
38592:2401097,8.62927
38592:2310332,7.30161
38592:2179136,7.34993
38592:2109248,8.08992
38592:2103281,8.48374
38592:2015381,8.5012
38592:1872194,8.60641
38592:1854564,9.22921
38592:1843866,8.11174
38592:1823672,8.62927
38592:1821549,9.15403
38592:1809398,9.40105
38592:1790864,8.51332
38592:1617661,8.62927
38592:1587310,6.78777
38592:1549920,9.41538
38592:1446714,9.51834
38592:1386703,8.70567
38592:1267297,7.00152
38592:1245526,9.39701
38592:1205489,9.43152
38592:1121096,7.84636
38592:1020072,6.29424
38592:949731,8.83559
38592:896798,8.62948
38592:878804,8.96886
38592:816692,7.34819
38592:435651,8.57089
38592:408345,8.79204
38592:395699,8.61106
38592:374900,9.35435
38592:367594,7.5399
38592:317740,8.00898
38592:268978,9.58194
38592:264395,8.28607
38592:250264,8.62927
38592:215750,9.13208
38592:172495,9.65201
38592:163025,6.81446
38592:161081,8.18606
38592:120889,8.40522
38592:119738,7.84882
38592:117500,7.37222
38592:114622,8.62927
38592:113862,7.38031
38592:113855,8.50098
38592:110478,7.56892
38592:107290,7.23386
38592:105112,7.77866
38592:104257,8.52726
38592:100046,9.29173
38592:97165,9.32847
38592:96754,7.77783
38592:89126,9.37767
38592:87985,8.51386
38592:83866,7.00787
38592:77413,7.4875
38592:67334,9.42743
38592:61439,8.62927
38592:59113,9.0861
38592:56592,8.55052
38592:44081,6.77978
38592:44079,8.16414
38592:42451,8.62927
38592:38355,7.08372
38592:34449,8.62927
38592:33870,8.58824
38592:33717,8.37012
38592:33651,8.62927
38592:32138,8.61454
38592:25164,8.62927
38592:14429,9.23572
38592:10930,8.62927
38592:10258,8.62927
38592:9678,8.62927
38589:3316960,7.80952
38589:1809398,7.62658
38589:1457767,7.85014
38589:1454468,8.27838
38589:1392214,8.16519
38589:1345836,8.63025
38589:816692,8.68058
38589:468569,9.27545
38589:455944,7.51026
38589:264464,8.42365
38589:120768,7.93548
38589:120586,8.79245
38589:112461,7.78261
38589:108550,8.06024
38567:3416742,8.24668
38567:3079380,8.2
38567:2872732,8.31869
38567:1528071,7.94017
38567:1392190,8.2
38564:2582802,8.54124
38564:2562232,8.58205
38564:2084970,8.56843
38564:1972571,8.52173
38564:1872194,8.58035
38564:1231583,8.46953
38564:824747,8.66294
38564:407887,8.57993
38564:405159,8.572
38564:268978,8.42601
38552:2582802,8.05332
38552:2084970,7.57581
38552:1100089,7.9641
38552:54743,4.64217
38549:3612616,7.69395
38549:3011894,9.44166
38549:1528100,9.05763
38544:1453405,8.60904
38544:1408101,8.70246
38544:1276104,8.5271
38544:1250777,8.4598
38544:796366,8.60861
38544:472043,8.59686
38544:462504,8.68819
38544:382932,8.50228
38544:366551,8.58218
38544:352248,8.24361
38544:198781,8.45667
38544:71315,8.4141
38529:2582802,7.42649
38529:2562232,7.55466
38529:2084970,7.4506
38529:1872194,7.46946
38529:1617661,8.09091
38529:1392190,8.09091
38529:455944,7.43317
38528:2267998,7.93193
38528:1786751,7.17464
38528:842926,6.81883
38503:2937898,7.33333
38503:2278871,8.09338
38503:2238050,6.38235
38503:2101441,5.19683
38503:1935179,7.62934
38503:1855199,7.80267
38503:1600524,7.53333
38503:1424797,7.90909
38503:1334260,7.52055
38503:485947,7.87069
38503:450188,7.96296
38503:190641,9.11111
38503:146882,7.69048
38503:119116,8.16071
38503:112471,8.22905
38503:110357,9
38503:107818,8
38503:88847,8.15267
38503:83866,8.44444
38503:68473,7.13636
38503:47296,8.25
38476:2872718,6.86962
38476:2310332,7.57797
38476:2084970,7.52816
38476:1800241,7.01467
38476:1640548,5.93075
38476:1450321,6.66012
38476:1234721,6.56189
38476:1053424,6.9661
38476:816692,7.04702
38462:3850214,8
38462:3195644,8
38462:3079380,8
38462:2967224,8
38462:2848292,8
38462:2637276,8
38462:2582496,8
38462:2395427,8
38462:2309260,8
38462:2126355,8
38462:2096673,8
38462:1981677,8.09399
38462:1964418,8
38462:1392190,8
38462:1340138,8
38462:1029360,8
38462:478970,8
38462:470752,8
38462:369610,8
38462:163025,8.24203
38462:119567,8.19193
38462:107290,8.17768
38462:88247,8.16404
38454:3534602,7.70833
38454:2179136,9.07255
38454:2126355,7.70833
38454:1964418,7.70833
38454:1823672,7.70833
38454:369610,7.70833
38454:92695,8.44782
38447:2802144,9
38447:1823672,9
38447:1636826,9
38425:3079380,8
38425:2820852,8
38425:2717822,8.59224
38425:1655441,8
38425:1392190,8
38425:816692,8.89734
38401:3850214,9.25
38401:2802144,9
38401:1398426,9.25
38393:2788710,6.7621
38393:2395427,6
38393:1790885,7.47402
38393:147800,7.77358
38381:2802154,7.96875
38381:1833885,4.33333
38381:376968,7.64286
38288:2395427,7.60526
38288:2234003,7.32549
38288:2015381,8.16206
38288:1981115,8.23555
38288:1877832,8.17388
38288:1843866,8.21105
38288:1491044,7.81802
38288:1430132,8.28371
38288:1343727,7.98785
38288:1300854,8.4006
38288:1276104,7.27463
38288:1228705,7.66387
38288:848228,7.3316
38288:800369,8.13211
38288:800080,7.43495
38288:478970,7.60526
38288:458339,8.81067
38288:435761,7.78349
38288:376994,7.11462
38288:371746,8.50247
38288:369610,7.60526
38288:290334,8.42732
38288:120903,7.41867
38288:120363,7.19608
38288:119217,8.02757
38288:114709,7.86942
38288:103639,7.42783
38276:2991224,7.66028
38276:2980516,8.18754
38276:2872718,8.32968
38276:2788710,8.48342
38276:2713180,8.38599
38276:2614684,8.18387
38276:2562232,8.26144
38276:1924435,8.22544
38276:1790864,8.2717
38276:1714915,8.22841
38276:1675434,8.19295
38276:1670345,8.27079
38276:1649419,8.20839
38276:1401152,8.41784
38276:1392214,8.37348
38276:1211956,8.20969
38276:1091191,8.30221
38276:1024648,8.3528
38276:405094,8.46294
38276:376968,8.42268
38276:375679,8.14613
38276:361862,8.11628
38276:327056,8.0787
38276:317248,8.3775
38276:268978,8.15743
38276:175880,8.23382
38276:114369,8.26804
38276:110912,8.26668
38276:110413,8.30569
38276:109830,8.16346
38270:2338151,8.80189
38270:1853728,8.57676
38270:1375666,8.99036
38270:1187043,8.95496
38270:482571,8.82759
38270:439662,8
38270:167261,9.02857
38270:116231,8.83333
38270:111161,9.46911
38269:2911666,7.38288
38269:2170439,6.62667
38269:1600196,7.00485
38269:790736,5.56103
38249:2322441,7
38249:2179116,7.6594
38249:2084970,7.82098
38249:829098,7
38249:384286,7
38235:2872718,7.70622
38235:2582802,8.11038
38235:2275946,7.50906
38235:2170593,7.09388
38235:829150,6.53532
38212:3170972,5.17396
38212:3152098,5.68264
38212:3097204,7.2227
38212:2872732,7.36697
38212:2828996,5.10287
38212:2802144,5.89658
38212:2784512,6.11821
38212:2395427,5.616
38212:2381249,5.616
38212:2369135,7.20041
38212:2357291,6.78896
38212:2339741,6.8106
